Ruta,Tractocamión,Prob_vacio
CITY CLUB/BB CANCUN PLANTA,T806,0.42898320500757636
BB COZUMEL/MEGA EMPACK,T710,0.42965453560720634
BB CANCUN PLANTA/CITY CLUB,T632,0.430138392805405
BB CANCUN PLANTA/SAMS KABAH,T628,0.4314149780205003
BB CANDELARIA/BB PACABTUN,T749,0.47555192706921035
MAS BODEGA/BB CANCUN PLANTA,T632,0.43169274296197074
COSTCO/BB CANCUN PLANTA,T632,0.43293781061907993
SAMS KABAH/BB CANCUN PLANTA,T628,0.43312920262385357
MEGA EMPACK/BB PACABTUN,T598,0.4332710820870382
BB CANCUN PLANTA/BB TICUL,T629,0.43327196501119203
BB CAMPECHE OTE/MEGA EMPACK,T626,0.4333842198288878
BB PLAYA DEL CARMEN/BB PONIENTE,T742,0.43344843365286706
BB PACABTUN/BB XPUJIL,T805,0.4335852088262755
BB CANCUN PLANTA NORTE/BB PLAYA DEL CARMEN,T629,0.43387097317357937
BB TICUL/MEGA EMPACK,T665,0.4340394969367471
BB CANCUN PLANTA/COSTCO,T632,0.43407844446296223
BB PONIENTE/BB PLAYA DEL CARMEN,T742,0.4340926687973931
MEGA EMPACK/BB CAMPECHE OTE,T757,0.4341616577818554
BB PONIENTE/BB CIUDAD DEL CARMEN,T750,0.4342507347303488
BB CIUDAD DEL CARMEN/BB PONIENTE,T749,0.4344588539586018
LOGI BASE MERIDA/PLANTA PACABTUN,T482,0.4655705308431891
BB CANCUN PLANTA/MAS BODEGA,T632,0.43574594708477343
BB CANCUN NORTE/BB CANCUN PLANTA,T752,0.436347821128034
MEGA EMPACK/BB TICUL,T665,0.4372454443248545
MEGA EMPACK/BB COZUMEL,T792,0.43851014089848905
LOGI BASE MERIDA/MEGA EMPACK,T576,0.4387684920399215
PENSION SALINAS CRUZ/BODEGA AURRERA TEHUANTEPEC,T646,0.45812497004353175
BB PACABTUN/BB PALIZADA,T805,0.4392499849122883
BODEGA AURRERA TEHUANTEPEC/PENSION SALINAS CRUZ,T583,0.4624604263596141
BB CANCUN PLANTA NORTE/BB CHETUMAL,T807,0.44185308897933145
BB PONIENTE/BB CANCUN PLANTA,T708,0.4420660681851784
BB XPUJIL/BB PACABTUN,T805,0.442193253030201
BB CANCUN NORTE/MEGA EMPACK,T688,0.4422700388162896
MEGA EMPACK/BB CANCUN NORTE,T688,0.4422700388162896
PENSION SALINAS CRUZ/SUPER CENTER SALINA CRUZ,T372,0.473271348190506
BB ESCARCEGA/BB CHAMPOTON,T755,0.44413723502307223
BB CHETUMAL/BB CANCUN PLANTA NORTE,T753,0.44427205767093514
BB PALIZADA/BB PACABTUN,T805,0.4451186167561687
SAMS SALINA CRUZ/PENSION SALINAS CRUZ,T392,0.4722296503928821
BB VALLADOLID/BB PONIENTE,T623,0.44662281263338266
PENSION SALINAS CRUZ/BODEGA AURRERA SALINA CRUZ,T647,0.47097735352655223
BB CANCUN PLANTA/BB DZITBALCHE,T748,0.44801594896049546
BB PONIENTE/BB VALLADOLID,T623,0.44838655864655264
BB CIUDAD DEL CARMEN/BB CAMPECHE OTE,T708,0.44862543074024613
BODEGA AURRERA JUCHITAN/PENSION SALINAS CRUZ,T444,0.47143950217023495
BBTICUL/BB PACABTUN,T708,0.44978802187716854
BB CAMPECHE OTE/BB CANCUN NORTE,T599,0.4523836542712758
BB PONIENTE/BB TIZIMIN,T599,0.4527027870443207
BB TIZIMIN/BB PONIENTE,T599,0.4527027870443207
RETORNO BB IZAMAL/BB CANCUN PLANTA,T612,0.4529006120753712
BB CAMPECHE OTE/BB CIUDAD DEL CARMEN,T708,0.4537992492172849
BB DZITBALCHE/BB CANCUN PLANTA,T748,0.4539467059299362
FABRICA DE JABON LA CORONA/WM CEDIS CHALCO,T390,0.4544081801668828
BB CAMPECHE OTE/BB CHETUMAL,T633,0.4548233878860467
PACABTUN/CHETUMAL,T626,0.45551361461251927
BB XPUJIL/BB CHETUMAL,T628,0.45586974451828793
BB CANCUN NORTE/BB CAMPECHE OTE,T763,0.456512159650138
CHETUMAL/ PACABTUN,T626,0.4566487238634322
BB TICUL/BB CANCUN NORTE,T453,0.4581855083998375
RETORNO BB VALLADOLID/BB CANCUN PLANTA,T611,0.45836260995162253
